area_id,"Location Name","Road Name","Area Name",Pincode,Latitude,Longitude,City,State,"Location Type","Media Formats",Orientation,"Media Tags",Width,Height,Illumination,"Ad Spot (Duration in seconds)","Total Ad spot per day","Total Advertisers","Display Charges PM","Production Cost","Installation Cost","Media Partner Name","Site Position",Junction,Obstruction,Visibility,Clutter,"Gym Count","Cafe Count","Mall Count","Park Count","Nearest City","Office Count","Others Count","School Count","Grocery Count","Lodging Count","Area Affluence","Bus Stop Count","Hospital Count","Pharmacy Count","Market Presence","Office Presence","Pet Store Count","Total POI Count","Warehouse Count","Pincode Category","Restaurant Count","Wholesaler Count","Bus Station Count","Cinema Hall Count","Event Venue Count","Liquor Shop Count","Other Store Count","Petrol Pump Count","Manufacturer Count","Sports Store Count","Travel Agent Count","Weekly Impressions","Doctor Clinic Count","Metro Station Count","Clothing Store Count","Footwear Store Count","Hardware Store Count","Market Concentration","Office Concentration","Police Station Count","Income Group Category","Jewellery Store Count","Nearest City Distance","Railway Station Count","Religious Place Count","Beauty And Salon Count","Monthly Average Income","Vegetable Market Count","Apartment Complex Count","Electronics Store Count","Nearest Cinema Distance","Nearest School Distance","Nearest Airport Distance","Nearest College Distance","Automotive Showroom Count","Nearest Bus Stop Distance","Nearest Religious Distance","Social Service Count (NGO)","Average Daily Footfall Count","College And University Count","Money Transfer Service Count","Mass Media Entertainment Count","Nearest Metro Station Distance","Nearest Shopping Mall Distance","Electronic Service Centre Count","Stationary And Xerox Shop Count","Nearest Railway Station Distance","Average Daily Traffic 12am-6am Count","Average Daily Traffic 12pm-6pm Count","Average Daily Traffic 6am-12pm Count","Average Daily Traffic 6pm-12am Count","Automotive Repair And Maintenance Count"
16395,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16396,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16397,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16398,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16399,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16400,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16401,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16402,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16403,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16404,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16405,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16406,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16407,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16408,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16409,"Link Road Round About Outside Springdale's School",,"Karol Bagh",110005,28.6448,77.1966,Delhi,Delhi,empty,Billboard/Unipole,,,20,10,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16410,"Peddar Road, Cadbury Junction Towards Haji Ali",,"Peddar Road",400026,18.9761,72.8088,Mumbai,Maharashtra,empty,Billboard/Unipole,,,20,20,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16411,"Peddar Road, Cadbury Junction Towards Haji Ali",,"Peddar Road",400026,18.9761,72.8088,Mumbai,Maharashtra,empty,Billboard/Unipole,,,20,20,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16412,"Peddar Road, Cadbury Junction Towards Haji Ali",,"Peddar Road",400026,18.9761,72.8088,Mumbai,Maharashtra,empty,Billboard/Unipole,,,20,20,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16413,"Peddar Road, Cadbury Junction Towards Haji Ali",,"Peddar Road",400026,18.9761,72.8088,Mumbai,Maharashtra,empty,Billboard/Unipole,,,20,20,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16414,"Peddar Road, Cadbury Junction Towards Haji Ali",,"Peddar Road",400026,18.9761,72.8088,Mumbai,Maharashtra,empty,Billboard/Unipole,,,20,20,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16415,"Peddar Road, Cadbury Junction Towards Haji Ali",,"Peddar Road",400026,18.9761,72.8088,Mumbai,Maharashtra,empty,Billboard/Unipole,,,20,20,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16416,"Peddar Road, Cadbury Junction Towards Haji Ali",,"Peddar Road",400026,18.9761,72.8088,Mumbai,Maharashtra,empty,Billboard/Unipole,,,20,20,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16417,"Peddar Road, Cadbury Junction Towards Haji Ali",,"Peddar Road",400026,18.9761,72.8088,Mumbai,Maharashtra,empty,Billboard/Unipole,,,20,20,Frontlit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
